"RE","REU","Реюньон","-21.1","55.6"
"RU","RUS","Россия","60","100"
"RW","RWA","Руанда","-2","30"
"RO","ROU","Румыния","46","25"
"SV","SLV","Сальвадор","13.83","-88.92"
"WS","WSM","Самоа","-13.58","-172.33"
"SM","SMR","Сан-Марино","43.77","12.42"
"ST","STP","Сан-Томе и Принсипи","1","7"
"SA","SAU","Саудовская Аравия","25","45"
"SZ","SWZ","Свазиленд","-26.5","31.5"
"MP","MNP","Северные Марианские о-ва","15.2","145.75"
"SC","SYC","Сейшельские Острова","-4.58","55.67"
"BL","BLM","Сен-Бартелеми","17.900403","-62.820297"
"MF","MAF","Сен-Мартен","18.074290","-63.045674"
"PM","SPM","Сен-Пьер и Микелон","46.83","-56.33"
"SN","SEN","Сенегал","14","-14"
"VC","VCT","Сент-Винсент и Гренадины","13.25","-61.2"
"KN","KNA","Сент-Китс и Невис","17.33","-62.75"
"LC","LCA","Сент-Люсия","13.88","-61.13"
"RS","SRB","Сербия","44","21"
"EA",,"Сеута и Мелилья","35.2862811","-2.9620361"
"SG","SGP","Сингапур","1.37","103.8"
"SX","SXM","Синт-Мартен","18.072431","-63.050396"
"SY","SYR","Сирия","35","38"
"SK","SVK","Словакия","48.67","19.5"
"SI","SVN","Словения","46","15"
"US","USA","Соединенные Штаты","38","-97"
"SB","SLB","Соломоновы Острова","-8","159"
"SO","SOM","Сомали","10","49"
"SD","SDN","Судан","15","30"
"SR","SUR","Суринам","4","-56"
"SL","SLE","Сьерра-Леоне","8.5","-11.5"
"TJ","TJK","Таджикистан","39","71"
"TH","THA","Таиланд","15","100"
"TW","TWN","Тайвань","23.5","121"
"TZ","TZA","Танзания","-6","35"
"TG","TGO","Того","8","1.17"
"TK","TKL","Токелау","-9","-172"
"TO","TON","Тонга","-20","-175"
"TT","TTO","Тринидад и Тобаго","11","-61"
"TA",,"Тристан-да-Кунья","-37.101683","12.277804"
"TV","TUV","Тувалу","-8","178"
"TN","TUN","Тунис","34","9"
"TM","TKM","Туркменистан","40","60"
"TR","TUR","Турция","39","35"
"UG","UGA","Уганда","1","32"
"UZ","UZB","Узбекистан","41","64"
"UA","UKR","Украина","49","32"
"WF","WLF","Уоллис и Футуна","-13.3","-176.2"
"UY","URY","Уругвай","-33","-56"
"FO","FRO","Фарерские о-ва","62","-7"
"FM","FSM","Федеративные Штаты Микронезии","6.92","158.25"
"FJ","FJI","Фиджи","-18","175"
"PH","PHL","Филиппины","13","122"
"FI","FIN","Финляндия","64","26"
"FK","FLK","Фолклендские о-ва","-51.75","-59"
"FR","FRA","Франция","46","2"
"GF","GUF","Французская Гвиана","4","-53"
"PF","PYF","Французская Полинезия","-15","-140"
"TF","ATF","Французские Южные территории","-43","67"
"HR","HRV","Хорватия","45.17","15.5"
"CF","CAF","ЦАР","7","21"
"TD","TCD","Чад","15","19"
"ME","MNE","Черногория","42","19"
"CZ","CZE","Чехия","49.75","15.5"
"CL","CHL","Чили","-30","-71"
"CH","CHE","Швейцария","47","8"
"SE","SWE","Швеция","62","15"
"SJ","SJM","Шпицберген и Ян-Майен","78","20"
"LK","LKA","Шри-Ланка","7","81"
"EC","ECU","Эквадор","-2","-77.5"
"GQ","GNQ","Экваториальная Гвинея","2","10"
"ER","ERI","Эритрея","15","39"
"EE","EST","Эстония","59","26"
"ET","ETH","Эфиопия","8","38"
"ZA","ZAF","ЮАР","-29","24"
"GS","SGS","Южная Георгия и Южные Сандвичевы о-ва","-54.5","-37"
"SS","SSD","Южный Судан","7.7660983","20.6491937"
"JM","JAM","Ямайка","18.25","-77.5"
"JP","JPN","Япония","36","138"
